Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,17.250000,17.250000,17.120001,17.120001,17.120001,74800
2019-02-26,17.230000,17.330000,17.230000,17.320000,17.320000,42600
2019-02-27,17.260000,17.389999,17.260000,17.330000,17.330000,134800
2019-02-28,17.360001,17.360001,17.250000,17.290001,17.290001,53800
2019-03-01,17.270000,17.290001,17.170000,17.240000,17.240000,69600
2019-03-04,17.190001,17.190001,17.080000,17.120001,17.120001,63900
2019-03-05,16.830000,16.850000,16.790001,16.809999,16.809999,78700
2019-03-06,16.629999,16.719999,16.600000,16.639999,16.639999,165700
2019-03-07,16.510000,16.510000,16.360001,16.389999,16.389999,81200
2019-03-08,15.990000,16.570000,15.990000,16.410000,16.410000,82900
2019-03-11,16.780001,16.780001,16.469999,16.700001,16.700001,50900
2019-03-12,16.910000,16.910000,16.670000,16.680000,16.680000,60400
2019-03-13,16.530001,16.930000,16.530001,16.900000,16.900000,110600
2019-03-14,16.780001,16.780001,16.650000,16.719999,16.719999,69000
2019-03-15,16.809999,16.889999,16.809999,16.860001,16.860001,55400
2019-03-18,16.879999,17.070000,16.790001,17.049999,17.049999,49000
2019-03-19,17.080000,17.170000,17.049999,17.070000,17.070000,171800
2019-03-20,16.750000,17.150000,16.750000,16.990000,16.990000,87600
2019-03-21,16.750000,17.180000,16.750000,17.180000,17.180000,37500
2019-03-22,17.290001,17.290001,17.059999,17.090000,17.090000,87000
