Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,122.709999,122.949997,122.400002,122.410004,122.410004,119400
2019-02-26,122.750000,123.650002,122.750000,123.230003,123.230003,102400
2019-02-27,122.699997,122.760002,122.089996,122.320000,122.320000,132900
2019-02-28,121.300003,121.440002,120.540001,121.040001,121.040001,124800
2019-03-01,120.400002,120.599998,119.629997,120.339996,120.339996,211500
2019-03-04,119.019997,119.029999,117.959999,118.419998,118.419998,240300
2019-03-05,118.500000,118.500000,117.919998,118.260002,118.260002,149800
2019-03-06,118.110001,118.309998,117.879997,117.980003,117.980003,153000
2019-03-07,118.239998,118.260002,116.809998,117.239998,117.239998,138500
2019-03-08,116.809998,117.730003,116.809998,117.709999,117.709999,100200
2019-03-11,118.500000,119.360001,118.500000,119.129997,119.129997,134700
2019-03-12,119.180000,119.199997,118.580002,118.760002,118.760002,79000
2019-03-13,118.650002,119.660004,118.559998,119.309998,119.309998,61500
2019-03-14,117.900002,118.110001,117.449997,117.699997,117.699997,139800
2019-03-15,119.000000,119.199997,118.750000,118.970001,118.970001,150900
2019-03-18,118.940002,119.599998,118.809998,119.510002,119.510002,106300
2019-03-19,119.940002,120.489998,119.639999,119.730003,119.730003,85700
2019-03-20,120.320000,120.430000,118.959999,119.669998,119.669998,140500
2019-03-21,119.620003,120.489998,119.260002,120.440002,120.440002,127200
2019-03-22,121.110001,121.160004,119.830002,120.220001,120.220001,179400
